kod;namn;area_m2;andel_i_majorna;andel_av_majorna;klass
14801021;Majorna-Linné, Sandarne;1226805.0;0.9999;0.2635;inne
14801036;Majorna-Linné, Majorna;467602.4;0.9999;0.1004;inne
14801012;Majorna-Linné, Klippan;448434.8;1.0000;0.0963;inne
14801016;Majorna-Linné, Skytteskogen;366529.6;1.0000;0.0787;inne
14801017;Majorna-Linné, Svalebo;357208.8;1.0000;0.0767;inne
14801042;Majorna-Linné, Gatenhielmska;181894.0;0.9999;0.0391;inne
14801033;Majorna-Linné, Gråberget, Västra;146649.1;1.0000;0.0315;inne
14801043;Majorna-Linné, Karl Johans torg;143562.8;1.0000;0.0308;inne
14801034;Majorna-Linné, Gråberget, Östra;128342.2;1.0000;0.0276;inne
14801038;Majorna-Linné, Slottsskogsgatan m fl;126864.4;1.0000;0.0273;inne
14801014;Majorna-Linné, Kungsladugård, Östra;123215.7;1.0000;0.0265;inne
14801022;Majorna-Linné, Silverkällan;113642.0;1.0000;0.0244;inne
14801011;Majorna-Linné, Gröna Vallen;103253.1;1.0000;0.0222;inne
14801013;Majorna-Linné, Kungsladugård, Västra;103218.8;1.0000;0.0222;inne
14801032;Majorna-Linné, Godhem;98338.9;1.0000;0.0211;inne
14801045;Majorna-Linné, Söderlingska ängen;89558.9;1.0000;0.0192;inne
14801035;Majorna-Linné, Hängmattan;81727.0;1.0000;0.0176;inne
14801015;Majorna-Linné, Mariaplan;75910.8;1.0000;0.0163;inne
14801037;Majorna-Linné, Marieberg;73498.8;1.0000;0.0158;inne
14801031;Majorna-Linné, Chapmans Torg;72446.2;1.0000;0.0156;inne
14801044;Majorna-Linné, Klareborgsgatan m fl;66593.2;1.0000;0.0143;inne
14801041;Majorna-Linné, Djurgårdsgatan m fl;58801.6;1.0000;0.0126;inne
